Cutoff,downstream_distance,time,x,y
0,0.5302311530537333,0.5,"[array([9985.73026071, 9859.89404596, 9752.63252318, 9663.28033075,
       9597.53713056, 9569.10807546, 9569.08809199, 9596.82656205,
       9628.59394512, 9689.34431584, 9721.81408357, 9720.28736256,
       9720.27944465, 9714.69292678, 9681.7161013 , 9594.95785741,
       9512.90944312, 9404.17412234, 9293.86331737, 9178.25661365,
       9051.72884164, 8933.11683878, 8804.95214744, 8689.1873924 ,
       8584.31136313, 8505.41012978, 8428.83397475, 8370.5727967 ,
       8308.49243046, 8279.82827643, 8249.37791857, 8249.58894805,
       8233.13143453, 8250.9701149 , 8279.94732668, 8314.33317079,
       8392.19882196, 8502.87196413, 8619.65301588, 8724.18015897,
       8841.69649208, 8967.89056674, 9083.00203044, 9211.42619984,
       9345.80290236, 9467.68243968, 9587.41496308, 9712.68256299,
       9832.75512029])]","[array([14008.82461643, 13972.74704531, 13891.38322571, 13806.62069113,
       13692.85040695, 13563.65229998, 13422.82744333, 13293.48013524,
       13165.82963489, 13050.2992034 , 12923.05041062, 12781.61019343,
       12640.91618679, 12502.51872661, 12372.95971789, 12288.12889807,
       12181.13078259, 12102.84589269, 12029.3433148 , 11968.48859311,
       11946.46736611, 11998.6893313 , 12029.03743103, 12089.6696825 ,
       12175.33787145, 12283.52486126, 12392.58261737, 12509.18737587,
       12624.22114865, 12753.10300839, 12881.2334077 , 13022.00646648,
       13156.05972595, 13278.07757729, 13406.75764686, 13533.31037968,
       13641.27665759, 13713.16375795, 13770.85326585, 13858.30584818,
       13914.448769  , 13949.40909839, 14011.1607759 , 14040.927566  ,
       14056.0751182 , 14101.37467267, 14151.94826513, 14189.17623011,
       14239.73905851])]"
1,0.030572819747935614,16.0,"[array([30309.0015073 , 30222.57324292, 30094.00704263, 30017.17739826,
       29934.55656372, 29857.23486948, 29814.05672395, 29712.55263833,
       29607.87659119, 29471.50852212, 29329.15988017, 29195.35779688,
       29079.28327169, 28986.45681173, 28939.17973869, 28895.96483027,
       28942.72911056, 29016.8599726 , 29132.51657536, 29261.63004277,
       29399.1823243 , 29539.72392304, 29681.49466598, 29823.40399742,
       29963.99505473, 30081.08648057])]","[array([1878.7380468 , 1991.58113075, 2051.75177894, 2170.68320357,
       2286.21364809, 2405.37280103, 2540.89669743, 2639.50061158,
       2736.03782299, 2775.42209965, 2770.93087602, 2722.66351747,
       2640.57568743, 2532.40189881, 2398.70904794, 2262.27228945,
       2128.80719561, 2006.52740083, 1924.35864535, 1864.34980508,
       1829.0812367 , 1808.35135722, 1800.09842809, 1802.01492001,
       1781.67118125, 1700.55672532])]"
2,0.26675579433876007,67.5,"[array([19239.0275583 , 19339.61971172, 19458.21709452, 19588.3639698 ,
       19727.50879502, 19869.30493395, 20001.71928646, 20119.52902441,
       20235.00545437, 20362.29072322, 20499.69844161, 20639.14898459,
       20772.35422838, 20886.4585668 , 20976.85697915, 21057.80541515,
       21149.08998853, 21260.44647779, 21390.61287893, 21531.70692151,
       21671.13527445, 21793.26230969, 21883.19272712, 21932.29314098,
       21942.2383017 , 21921.6346246 , 21876.21414199, 21804.84569086,
       21707.94885351, 21594.81791116, 21478.35960889, 21366.25305797,
       21255.09365511, 21136.04525204, 21007.74785328, 20876.42715529,
       20749.28055518, 20630.41253259, 20517.17923853, 20402.33293711,
       20279.84460643, 20147.82625977, 20008.7121348 , 19866.84268445,
       19725.54435979, 19587.47456016, 19456.85274902, 19339.86260491,
       19243.60598324, 19176.08367478, 19143.29007316, 19138.63882706,
       19135.98488218, 19102.51713044, 19022.27913255])]","[array([8137.35943845, 8237.75758858, 8316.01211826, 8373.00447697,
       8401.96276307, 8391.98062452, 8340.48127768, 8261.21441153,
       8178.60973658, 8116.11627928, 8081.00444536, 8054.15350216,
       8005.23559985, 7920.88876021, 7811.41034413, 7694.78705182,
       7586.19358488, 7498.19974424, 7441.35128799, 7424.18778589,
       7452.19259827, 7525.1777422 , 7635.44825071, 7768.95474171,
       7910.79302445, 8051.4197174 , 8186.06610834, 8308.93721294,
       8412.73932057, 8498.53981255, 8579.67380967, 8666.57178653,
       8754.85308551, 8832.06581544, 8892.64624639, 8946.53176267,
       9009.46522038, 9086.93222786, 9172.4801873 , 9255.82024263,
       9327.48505476, 9379.6121177 , 9407.86443268, 9413.33984033,
       9399.43308825, 9366.28855211, 9310.58324664, 9230.04553755,
       9125.53620681, 9000.4788814 , 8862.26936257, 8720.40018661,
       8578.4203998 , 8440.5605114 , 8323.39196671])]"
3,0.8932821103552244,72.0,"[array([4381.28567635, 4248.12055183, 4130.22566831, 4034.0908848 ,
       3957.67325837, 3887.16386713, 3802.60700826, 3700.76260597,
       3591.29728751, 3477.86714073, 3361.70711834, 3243.88146985,
       3122.09883309, 2999.18661888, 2873.24892636, 2739.38234493,
       2603.58019686, 2467.40687402, 2328.0982598 , 2186.41301857,
       2046.00249576, 1912.50955454, 1787.66210641, 1675.67897157,
       1585.7351477 , 1526.74599208, 1499.49128284, 1497.67988668,
       1518.03572384, 1566.11847734, 1649.64490747, 1763.66499388,
       1889.17023626, 2019.47914677, 2153.25219198, 2289.37651043,
       2426.35619275, 2564.23743098, 2704.38585871, 2846.30962423,
       2987.29000468, 3128.37413308, 3267.69717484, 3407.99972495,
       3548.16810579, 3689.22825107, 3831.04679395, 3972.81451127,
       4113.4375915 , 4251.40253451])]","[array([27257.03563835, 27207.68679303, 27128.40124566, 27023.82981722,
       26904.16821707, 26781.05192734, 26667.17196733, 26568.3333504 ,
       26478.05589246, 26392.80405023, 26311.31248792, 26232.26594936,
       26159.44858037, 26088.52348159, 26023.23874132, 25976.02543953,
       25934.94399792, 25895.07785939, 25867.88688599, 25859.65381163,
       25880.78605109, 25929.20578858, 25996.82232401, 26084.15848645,
       26194.10780962, 26323.37006379, 26462.79851071, 26604.81392692,
       26745.36996405, 26879.07245722, 26994.00345649, 27078.91283774,
       27145.25659588, 27201.52959797, 27248.90264866, 27288.98653843,
       27325.9848607 , 27359.5520899 , 27381.76356761, 27378.67285635,
       27363.64655669, 27379.55331938, 27406.15556193, 27427.3841187 ,
       27449.35068149, 27464.75256709, 27469.10396098, 27464.36948061,
       27483.67011417, 27516.80839463])]"
4,0.30980920923445204,95.0,"[array([18043.25318208, 18007.06886277, 18001.07736977, 18027.3713994 ,
       18081.6192284 , 18158.14606978, 18253.06068931, 18362.10046192,
       18477.44082033, 18587.11498435, 18674.72897651, 18722.88343397,
       18721.39742288, 18671.01199645, 18580.5059913 , 18462.24132991,
       18328.35851083, 18187.81071656, 18045.62504147, 17904.88515572,
       17769.59807721, 17645.92372853, 17539.6348218 , 17451.039741  ,
       17373.30820441, 17298.17561702, 17223.78361867, 17156.81234981,
       17108.69117951, 17089.769405  , 17105.14361807, 17154.69575792,
       17235.19974305, 17340.56113641, 17460.95908474, 17584.27985089,
       17696.00807016, 17777.10774761])]","[array([ 8802.81550712,  8940.30889876,  9082.3911164 ,  9222.15995193,
        9353.61485223,  9473.4537851 ,  9579.29889819,  9670.46349232,
        9753.41215204,  9843.69112971,  9955.60194433, 10089.46968757,
       10231.84408462, 10365.06903809, 10475.04179779, 10554.31500452,
       10602.53136273, 10624.3356423 , 10624.67229121, 10604.50140044,
       10560.72552805, 10490.52361572, 10396.05787036, 10284.88718687,
       10165.93385398, 10045.35701214,  9924.3201391 ,  9799.00149562,
        9665.26586468,  9524.3483857 ,  9382.95224836,  9249.60182647,
        9132.30153445,  9036.74758217,  8961.18191824,  8890.6805057 ,
        8802.94736116,  8686.15727445])]"
5,0.6104153243866824,104.0,"[array([8538.16119525, 8471.62936081, 8424.78887556, 8399.46158679,
       8400.16891429, 8429.97419871, 8485.94752604, 8559.52783526,
       8641.3357615 , 8724.52237896, 8803.04795954, 8867.33248929,
       8903.20368933, 8897.53746226, 8846.05116425, 8754.91927076,
       8635.77113601, 8500.46832657, 8358.74775716, 8217.5657363 ,
       8081.1550844 , 7951.84685495, 7830.98761237, 7718.56116369,
       7611.87418835, 7506.37581817, 7399.75151724, 7295.21339533,
       7200.99484123, 7127.19235663, 7081.60170597, 7067.69411718,
       7086.23854823, 7136.77030951, 7216.29207577, 7318.04779434,
       7433.64430169, 7556.82218084, 7684.92401873, 7816.91975082,
       7950.46964457, 8080.34327782, 8197.33745223, 8291.17670775])]","[array([17306.91097171, 17181.33322099, 17047.1775935 , 16907.35285098,
       16765.25312633, 16626.31584737, 16495.71103822, 16374.19317499,
       16258.12516309, 16143.07486329, 16024.77814881, 15898.13497198,
       15760.67342293, 15618.6271225 , 15486.00824209, 15376.70897178,
       15298.9214211 , 15255.01435382, 15243.37143942, 15259.93567391,
       15299.77391785, 15358.63566253, 15433.26700936, 15520.04317715,
       15613.7577241 , 15708.76828245, 15802.51733108, 15898.62726034,
       16004.87641385, 16126.23836228, 16260.82912539, 16402.29178726,
       16543.23891609, 16676.11721262, 16793.94226511, 16893.16865312,
       16975.78364112, 17046.50542243, 17107.8025323 , 17160.11607215,
       17208.37651042, 17265.77549877, 17346.22217076, 17452.88930689])]"
6,0.7408558354168924,124.5,"[array([4802.62731473, 4928.18467203, 5065.7573011 , 5207.54747952,
       5349.52103049, 5489.2120213 , 5624.64123546, 5754.18205671,
       5876.16758494, 5988.08174365, 6086.73485039, 6170.58350256,
       6243.72452712, 6318.41201992, 6410.57769809, 6528.38818931,
       6665.61272278, 6807.84845386, 6942.48851574, 7061.51424404,
       7158.43029767, 7225.90223396, 7256.84158883, 7247.53677255,
       7200.51252318, 7125.49873725, 7036.9434065 , 6947.93934608,
       6862.50445963, 6771.70422538, 6663.15218265, 6535.51851846,
       6397.81954065, 6258.42309161, 6123.68892727, 6002.64169028,
       5897.70981552, 5795.07121162, 5677.76592355, 5543.55931725,
       5401.69880932, 5260.77248694, 5126.14356197, 5004.52335558,
       4906.88916828, 4845.00739883, 4819.73371831, 4807.49805994,
       4766.52713852, 4671.95489503])]","[array([20792.63658926, 20859.98689927, 20896.61932611, 20908.42348075,
       20899.89433343, 20873.28814592, 20829.97104451, 20771.367463  ,
       20698.33284469, 20610.63920821, 20508.25646768, 20393.45127778,
       20271.56467964, 20150.64313135, 20042.45575063, 19962.78331203,
       19924.9208225 , 19932.01072027, 19978.37974845, 20056.50440181,
       20160.79024665, 20286.16529314, 20425.15889025, 20567.25141971,
       20701.61774434, 20822.52639854, 20933.76745027, 21044.52808624,
       21158.12684947, 21267.49849545, 21359.28697992, 21422.01344691,
       21457.62244474, 21485.37913011, 21530.36311316, 21604.84306463,
       21700.82797474, 21799.10983609, 21879.27395865, 21926.3113836 ,
       21937.24717133, 21917.68141773, 21871.64369915, 21797.74102697,
       21694.13812474, 21565.94599072, 21425.90377037, 21284.20628666,
       21148.2992606 , 21041.9983156 ])]"
7,0.7319118686953466,175.5,"[array([4685.8454298 , 4563.07664158, 4423.61273402, 4281.70552085,
       4149.04003915, 4031.22294061, 3918.73022093, 3791.53070534,
       3649.31853959, 3521.52384335, 3438.5560889 , 3411.23777584,
       3435.22766276, 3500.76923832, 3597.56019868, 3716.3382911 ,
       3849.20408719, 3989.52362524, 4131.88329485, 4272.1782648 ,
       4407.41297866, 4534.87499163, 4651.58615237, 4756.53292693,
       4856.37416324])]","[array([18593.73437932, 18666.03058791, 18695.47597623, 18682.1363594 ,
       18630.24705314, 18550.34058283, 18463.13098195, 18399.74697685,
       18393.40033153, 18456.95850201, 18573.29127554, 18713.49655349,
       18854.19990226, 18980.87984294, 19085.52729935, 19164.22310657,
       19215.54637035, 19239.77368051, 19238.5640038 , 19214.51948149,
       19170.16061655, 19106.86303295, 19025.4644694 , 18929.41643859,
       18828.07192981])]"
8,0.9155754695766163,234.0,"[array([4954.21325596, 4827.67101086, 4691.72048856, 4549.69506541,
       4410.03131657, 4285.57427099, 4179.92832387, 4069.42770165,
       3932.57277956, 3796.76957665, 3705.07987832, 3672.91455312,
       3694.67242769, 3759.32248478, 3855.72380577, 3974.17974856,
       4106.77989246, 4247.12474736, 4389.5410986 , 4527.0589951 ,
       4649.92150031, 4755.05266924, 4864.95102518, 5001.73768893])]","[array([27436.30987381, 27501.59016378, 27544.02884033, 27555.30180999,
       27527.02892753, 27458.16315659, 27363.76000618, 27276.29061111,
       27239.80242809, 27283.9478014 , 27393.78655267, 27533.11342499,
       27674.28593979, 27801.51302282, 27906.6075296 , 27985.89622848,
       28038.08814317, 28062.6881705 , 28058.16624968, 28020.77930821,
       27948.66215251, 27852.54608793, 27762.32772627, 27722.83743068])]"
9,0.037128487459356534,241.0,"[array([30265.46423113, 30123.17286405, 29995.29930214, 29895.40567794,
       29841.66618023, 29852.97126084, 29892.48466825, 29879.71705282,
       29784.18310241, 29644.17175625, 29508.88686541, 29405.72726948,
       29343.48330266, 29321.7392793 , 29337.383303  , 29385.95508267,
       29458.98277777, 29546.37553979, 29646.30708803, 29767.63841893,
       29908.12511015, 30048.5193203 , 30190.37488396, 30323.00161024])]","[array([1338.41480281, 1349.39361836, 1412.6658462 , 1514.48908007,
       1646.82174302, 1788.43899906, 1924.94288612, 2066.39475474,
       2172.11081831, 2200.94396066, 2154.56855464, 2055.72086673,
       1927.29480729, 1786.3702061 , 1644.72297813, 1510.84413075,
       1388.68060564, 1276.40225293, 1175.09319319, 1100.31190796,
       1076.63649648, 1098.73622627, 1111.26146688, 1060.07026719])]"
